GasPrice	ElePrice	VehPrice	mpg	mpg_unknown	mpg_known	range	size	curveh_model_year	curveh_age	curveh_price	curveh_mpg	curveh_mpg_known	curveh_mpg_unknown	curveh_range	curveh_size	Vehicles
4.25	4.75	0.8	0.24	0	0.24	0.6	3	2005	9	0.8	0.24	0.24	0	0	3	5
3	4.75	2.3	0	0	0	0.7	2	2006	8	2.3	0	0	0	0	2	3
4.65	5.4	2.3	0	0	0	1.45	1	2006	15	2.3	0	0	0	0	1	3
3.25	4	1.9	0	0	0	0.75	2	2009	5	1.9	0	0	0	0	2	3
4	4.75	1.35	0	0	0	0.7	1	2002	12	1.35	0	0	0	0	1	3
4.25	4.75	1.85	0	0	0	0.85	2	2008	6	1.85	0	0	0	0	2	3
6.89	5.63	1.8	0.48	0.48	0	1.4	0	2019	3	1.8	0.48	0	0.48	0	0	3
3.5	4.25	0.33	0	0	0	0.9	2	2000	14	0.33	0	0	0	0	2	3
4	4.5	3.5	0	0	0	0.9	3	2012	2	3.5	0	0	0	0	3	3
3.75	4	3	0.28	0	0.28	0.75	1	2008	6	3	0.28	0.28	0	0	1	3
3.75	5	1.1	0	0	0	0.6	2	2005	9	1.1	0	0	0	0	2	4
3.75	4	0.12	0	0	0	1.1	2	1994	20	0.12	0	0	0	0	2	4
3.25	4	1	0	0	0	0.75	1	2011	3	1	0	0	0	0	1	2
4	4.25	2	0	0	0	0.6	2	2008	6	2	0	0	0	0	2	2
3	4	0.15	0.3	0	0.3	0.85	2	2001	13	0.15	0.3	0.3	0	0	2	2
3.5	4.25	0.36	0	0	0	1	2	2005	9	0.36	0	0	0	0	2	2
4	5	2.2	0.3	0	0.3	0.9	2	2010	4	2.2	0.3	0.3	0	0	2	2
3	5.25	2.8	0.23	0	0.23	0.6	3	2010	4	2.8	0.23	0.23	0	0	3	2
3.25	4.25	2.3	0	0	0	0.85	2	2008	6	2.3	0	0	0	0	2	4
4	4.25	3	0.2	0	0.2	0.85	2	2004	10	3	0.2	0.2	0	0	2	2
3.75	5	1.1	0	0	0	1.1	1	2001	13	1.1	0	0	0	0	1	3
5.03	5.53	2.6	0.34	0.34	0	0.9	1	2017	3	2.6	0.34	0	0.34	0	1	3
4.25	5	2.7	0.45	0	0.45	1	1	2005	9	2.7	0.45	0.45	0	0	1	4
3.25	4	2	0	0	0	0.6	2	2004	10	2	0	0	0	0	2	4
3	4.25	0.65	0.25	0	0.25	0.6	3	2004	10	0.65	0.25	0.25	0	0	3	3
4.25	4	2	0.33	0	0.33	0.6	2	2009	5	2	0.33	0.33	0	0	2	2
3.25	5.25	1.4	0.286	0	0.286	0.6	2	2001	13	1.4	0.286	0.286	0	0	2	3
3.5	4	2.2	0	0	0	0.75	1	2014	0	2.2	0	0	0	0	1	3
3.75	5.25	2.23	0.28	0	0.28	0.85	2	2012	2	2.23	0.28	0.28	0	0	2	3
4	5	0.25	0.45	0	0.45	0.75	1	1999	15	0.25	0.45	0.45	0	0	1	3
4.25	5	2.5	0.3	0	0.3	0.85	2	2005	9	2.5	0.3	0.3	0	0	2	2
4	4	0.9	0	0	0	1	1	2006	8	0.9	0	0	0	0	1	2
3.75	5.25	4	0.5	0	0.5	0.7	2	2013	1	4	0.5	0.5	0	0	2	3
3.75	4.75	1.95	0.31	0	0.31	0.75	2	2010	4	1.95	0.31	0.31	0	0	2	2
3.25	4.25	2	0	0	0	0.7	2	2008	6	2	0	0	0	0	2	3
4	4.25	2.5	0.2	0	0.2	0.9	2	2012	2	2.5	0.2	0.2	0	0	2	3
4	4.5	2.1	0.32	0	0.32	0.7	2	2013	1	2.1	0.32	0.32	0	0	2	4
4.25	4	3	0.3	0	0.3	0.6	3	2012	2	3	0.3	0.3	0	0	3	3
3	4	2.7	0.29	0	0.29	1	2	2014	0	2.7	0.29	0.29	0	0	2	3
3.25	4.75	3	0.18	0	0.18	0.75	3	2003	11	3	0.18	0.18	0	0	3	5
3.5	5	6	0.18	0	0.18	0.9	3	2013	1	6	0.18	0.18	0	0	3	2
3.25	5.25	1.6	0.3	0	0.3	0.7	2	2003	11	1.6	0.3	0.3	0	0	2	3
4.25	4.25	2.6	0	0	0	0.6	3	2005	9	2.6	0	0	0	0	3	3
3	4	2.5	0	0	0	1.1	2	2012	2	2.5	0	0	0	0	2	3
3.5	4.75	3	0.32	0	0.32	0.6	2	2005	9	3	0.32	0.32	0	0	2	2
4	4	2.8	0.3	0	0.3	1	2	2012	2	2.8	0.3	0.3	0	0	2	4
3.75	4.75	1.7	0.32	0	0.32	0.7	1	2014	0	1.7	0.32	0.32	0	0	1	2
